"Year","Month","Q"
1988,1,17.5296408164963
1988,2,13.3092990081699
1988,3,18.3122140672328
1988,4,25.9006501695352
1988,5,81.7006473768847
1988,6,134.198690352095
1988,7,148.219373689482
1988,8,97.8216563420554
1988,9,127.988592943025
1988,10,111.907974855311
1988,11,44.8338739776749
1988,12,28.172637026512
1989,1,21.2859924200313
1989,2,16.8228004609924
1989,3,19.8773605687057
1989,4,30.747555464419
1989,5,95.4739365898461
1989,6,216.596080365119
1989,7,140.706670482413
1989,8,105.177844898978
1989,9,143.438103570467
1989,10,94.2218193886678
1989,11,42.8648187016284
1989,12,28.172637026512
1990,1,20.9729631197367
1990,2,16.9641685320932
1990,3,18.4687287173801
1990,4,29.2328975597678
1990,5,72.9358269686365
1990,6,139.348527227909
1990,7,118.168560861203
1990,8,114.568723907815
1990,9,149.345269398606
1990,10,74.0314295196675
1990,11,44.2280108158145
1990,12,26.2944612247445
1991,1,19.4078166182638
1991,2,15.4091197499847
1991,3,18.6252433675274
1991,4,27.1123764932561
1991,5,82.3267059774738
1991,6,109.50976650628
1991,7,87.6482040824816
1991,8,91.4045556860166
1991,9,85.1237742413963
1991,10,84.8309403798305
1991,11,43.0162844920935
1991,12,26.4509758748918
1992,1,19.0947873179692
1992,2,15.6666115937754
1992,3,18.7817580176746
1992,4,39.0781739400005
1992,5,90.4654677851328
1992,6,207.508132937212
1992,7,186.252433675273
1992,8,88.9003212836599
1992,9,98.6042295927918
1992,10,62.7623747090627
1992,11,29.6872949311631
1992,12,19.4078166182638
1993,1,16.7470675657599
1993,2,13.458240368794
1993,3,14.1489243733149
1993,4,25.7491843790701
1993,5,112.690548106048
1993,6,138.136800904188
1993,7,162.77523615318
1993,8,186.252433675273
1993,9,124.504879762327
1993,10,84.8309403798305
1993,11,43.622147653954
1993,12,24.416285422977
1994,1,17.6861554666436
1994,2,13.0482729626017
1994,3,13.9767582581529
1994,4,30.5960896739538
1994,5,86.8656308317452
1994,6,156.009764179072
1994,7,83.7353378287994
1994,8,67.770843513776
1994,9,106.631916487443
1994,10,71.057651166869
1994,11,33.1710081118609
1994,12,18.6252433675274
1995,1,13.5541687027552
1995,2,10.92775189609
1995,3,15.1193152042281
1995,4,29.6872949311631
1995,5,169.035822159072
1995,6,168.127027416281
1995,7,107.525564651187
1995,8,62.1363161084736
1995,9,60.283384605117
1995,10,61.9798014583263
1995,11,34.3827344355818
1995,12,19.4078166182638
1996,1,13.4133055176226
1996,2,11.4205206010699
1996,3,13.0220188922544
1996,4,25.4462527981398
1996,5,77.4747518229079
1996,6,146.618885170234
1996,7,119.733707362676
1996,8,76.0661199715823
1996,9,65.433221480931
1996,10,64.3275212105356
1996,11,35.7459265497679
1996,12,17.5296408164963
1997,1,13.1002762173281
1997,2,10.3622796116869
1997,3,14.0550155832265
1997,4,23.9315948934887
1997,5,102.673610496621
1997,6,162.068395797676
1997,7,135.854716327847
1997,8,75.909605321435
1997,9,34.0798028546516
1997,10,28.9552102772484
1997,11,18.9332238081398
1997,12,13.3506996575637
1998,1,12.3333544316063
1998,2,10.3057323832466
1998,3,13.3037452625195
1998,4,32.8680765309306
1998,5,90.7784970854274
1998,6,96.6351743167453
1998,7,146.02816858742
1998,8,132.880937975048
1998,9,89.6677479553499
1998,10,78.5703543739389
1998,11,42.7133529111633
1998,12,22.5381096212096
1999,1,15.6201620846994
1999,2,12.1152436933366
1999,3,13.7889406779761
1999,4,37.260584454419
1999,5,87.3351747821871
1999,6,168.127027416281
1999,7,198.773605687057
1999,8,99.230288193381
1999,9,61.9495083002333
1999,10,114.412209257668
1999,11,45.4397371395354
1999,12,25.6684026241553
2000,1,17.0600968660545
2000,2,13.6021328697358
2000,3,15.1506181342575
2000,4,32.4136791595353
2000,5,84.6744257296832
2000,6,150.708461512792
2000,7,117.855531560908
2000,8,79.5094422748226
2000,9,79.519539994187
2000,10,58.2234498547914
2000,11,31.6563502072097
2000,12,20.3469045191475
2001,1,16.277523615318
2001,2,13.0058625412715
2001,3,14.3523934185064
2001,4,29.8387607216283
2001,5,77.7877811232024
2001,6,134.501621933025
2001,7,91.091526385722
2001,8,92.0306142866057
2001,9,135.107485094885
2001,10,81.857162027032
2001,11,46.197066091861
2001,12,29.7377835279848
2002,1,19.2513019681165
2002,2,15.833223963287
2002,3,16.277523615318
2002,4,35.897392340233
2002,5,70.7446218665745
2002,6,118.294782353257
2002,7,74.6574881202567
2002,8,73.4053709190784
2002,9,40.1384344732563
2002,10,32.8680765309306
2002,11,19.8420185509305
2002,12,14.3836963485358
